Entity1,Entity2,y_true,ChatGPT40-mini_baseline_y_pred,WebRag_y_pred
"|Title: Ernie Ball Instrument Cable 20'- Black |Price: 3.299E1 USD |Description: Ernie Ball instrument cables feature a high-quality design made with superior components that are built to last. Dual-conductors deliver reliably clear tone with crisp highs, tight mids, and rich harmonics. Multiple shielding materials preserve the signal with low handling noise, and the durable PVC jacket exterior ensures long-lasting performance. Cable length 10ft (3.05m). Straight - Straight.","|Title: Ernie Ball 2250 Classic Pure Nickel 11-48 |Price: 8.3 EUR |Description: Made from pure nickel wire wrapped around tin plated hex shaped steel core wire. These guitar strings produce a warm rich tone. Ernie Ball is the pioneer of Rock and Roll guitar strings. Since setting the industry standard for electric strings, the list of Slinky users has grown to include the likes of Jimmy Page, Eric Clapton, Steve Vai and Slash. If you like tone, you like Slinkys! Gauges .11-14-18p-28-38-48",0,0,0
|Title: Peak Design - Everyday Camera Sling v2 10L - By Peak Design |Price: 1.4995E2 USD |Description: Minimalist camera Everyday Sling v2 10L from Peak Design. Redesigned for more durability and sustainability. Available at Shop Moment.,"|Brand: Peak design |Title: Peak Design Everyday Sling 10L Camera Bag - Ash |Price: 99.17 GBP |Description: Maglatch- Secure, silent, one-handed bag closure.Flexfold- Origami-inspired dividers redefined organistion.Expandable- Peak Design bags are designed from the ground-up to adapt to your carrying needs.Weatherproof-Kodra fabric keeps the elements away from your gear.Kodra Weave- Ultra-strong Kodra fabric is durable and handsome.Custom Hardware-Custom made hardware designed and built by Peak Design.",0,1,1
"|Title: Black Monochrome Ribbon - K - 3,000 prints |Price: 0.00 USD |Description: Black monochrome ribbon Cleaning roller included 3000 prints per roll Zebra ribbon is for use with P630i and P640i card printers",|Brand: zebra |Title: Zebra iSeries Black Ribbon 800014-901,1,1,1
"|Title: Asus ROG Strix Slice Gaming Mouse Pad |Price: 55 AUD |Description: MINIMUM FRICTION, MAXIMUM ACTIONROG Strix Slice is a thin portable mouse pad with a hard, low-friction surface for swift and smooth glides, and a nonslip silicone base that guarantees a firm grip during fierce action. With a glow-in-the-dark logo and durable polycarbonate surface, Strix Slice elevates your skill in any tournament.Key FeaturesLow-friction surface for fast, unhindered mouse gliding that tracks even the smallest movements, and ideal for both optical and laser mice.Cyberpunk theme with glow-in-the-dark ROG logo to stand out in every tournament.Ultrathin design for sleek appearance and easy portability.Durable, easy-to-clean surface ensures the best performance game after game.Nonslip silicone base keeps its grip on your worktop or table, no matter how fierce the action.","|Title: Asus ROG STRIX SLICE Gaming Mouse Pad Ultrathin Design Glow-in-the-dark Logo 350 x 250 x 0.6 mm |Price: 52.99 NZD |Description: ROG Strix Slice gaming mouse pad featuring an ultrathin, hard, smooth surface, nonslip base, high durability and portability. Perfect for optical and laser mice.Low-friction surface for fast, unhindered mouse gliding that tracks even the smallest movements, and ideal for both optical and laser mice.Cyberpunk theme with glow-in-the-dark ROG logo to stand out in every tournament.Ultrathin design for sleek appearance and easy portability.Durable, easy-to-clean surface ensures the best performance game after game.Nonslip silicone base keeps its grip on your worktop or table, no matter how fierce the action.Minimum Friction, Maximum Action ROG Strix Slice is a thin portable mouse pad with a hard, low-friction surface for swift and smooth glides, and a nonslip silicone base that guarantees a firm grip during fierce action. With a glow-in-the-dark logo and durable polycarbonate surface, Strix Slice elevates your skill in any tournament.Smooth Glide, Spot-On AccuracyROG Strix Slice is crafted from low-friction polycarbonate to provide a fatigue-reducing hard surface that's also completely smooth, enabling effortless, fast sweeps during even the fiercest fights. The pad also offers wipe-clean ease, for fast everyday maintenance. Suitable for both laser and optical sensors, it allows your mouse to track every movement – instantly translating your reactions to the actioShine On, Be SeenWith luminous ROG logo channeling cyberpunk style, ROG Strix Slice literally glows in the dark – setting the scene and illuminating your mastery of the gaming arena.Ultrathin, and Fits Right inThere's a mere 0.6mm thickness to ROG Strix Slice, all but eliminating the gap between your pad and table. This provides a seamless transition from mouse to wrist to worktop, keeping your concentration in the game.Battle-Hardened for Every BattlefieldManufactured from durable polycarbonate, ROG Strix Slice is inherently protected against spills and splashes, while dirt just wipes right off. The pad's hard surface is resistant to scratches, so you'll enjoy superb performance through countless campaigns.Firm Grip, No GritWith a nonslip base ROG Strix Slice stays put, regardless of how frantic the action becomes. The silicone material takes just a quick wipe to remove any grit and grime, keeping your mouse pad clean from top to bottom.",1,1,1
"|Title: iPad (2017) 32GB 4G Spacegray |Price: 349 EUR |Description: Refurbished Apple iPad 2017 32GB Zwart Wifi + 4G - A grade, 24,6 cm (9.7\""), 2048 x 1536 Pixels, 32 GB, 3G, 478 g, Zwart, Grijs",|Brand: Park Tool |Title: Park Tool Park Tool BBT-18 BB toolf 8-Not |Price: 21.99 USD |Description: Specially designed bottom bracket tool for shop and consumer use.,0,0,0
|Brand: Tp-link |Title: TP-Link Archer VR400-AC1200 Wireless Gigabit VDSL ADSL Modem Router(Black). |Price: 290.7 AED,"|Title: Galaxy A21s 3+32GB Sort |Price: 2690.00 NOK |Description: Smarttelefon, 6.5'' HD+skjerm, 48MP 8MP 2MP 2MP kamera, Android",0,0,0
"|Title: Lezyne Pressure Over Drive 2.5 Floor Pump Abs-1 Pro Chuck |Price: 139.99 USD |Description: * High pressure floor pump with air tank allowing tubeless tire inflation* Overcharge pressure protection* Analog gauge integrated on the air tank* Rapid air release foot peg* Alloy, Steel, and Wood construction* Head: ABS-1 Pro","|Title: Jacksonville Jaguars New Era 940 The League NFL Adjustable Cap |Price: 19.95 GBP |Description: New Era 9Forty Jacksonville Jaguars The League Adjustable Cap.Black with the Jaguars front logo, the New Era side logo, and the Jaguars rear strap logo.Adjustable Velcro rear strap.Size range - 54.9cm - 60.6cm (6+7 8 - 7+5 8)",0,0,0
|Title: Cleito 120 Glass By Aspire |Price: 3.50 GBP |Description: If you have dropped the Cleito 120and broken the glass no longer do you have to purchase a brand new unit. You can simply purchase the replacement glass sleeve from us and have your Cleito 120as new again.,|Title: Aspire Cleito 3.5ml Replacement Glass | Smokey Joes Co |Price: 4.0 GBP |Description: Aspire Cleito 3.5ml Replacement Glass If you Have Dropped Your Cleito And Broken The Glass No Longer Do You Have To Purchase A Brand New Vape Tank.,0,1,0
"|Brand: Manfrotto |Title: Manfrotto tripod kit MVK500190XV Alu Video Kit |Price: 349.00 EUR |Description: The new MVK500190XV is a video system composed by MVH500AH fluid video head and dedicated 190X Video aluminium tripod, ensuring the utmost versatility and carrying convenience. The 500 head comes in the flat base version, for greater versatility when it comes to using it in combination with other video accessories (such as slider or jib). It also features fluid cartridges on both pan and tilt axes to ensure that every camera movement is smooth. It comes with a side lock system, allowing the camera and sliding plate to click quickly into the head from above, instead of needing to be aligned and slid in from the back. The side lock system also makes it quicker and simpler to lift the camera out of the head from above. The head has a pre-set counterbalance of 2.4 kg at 55mm C.O.G., but can support up to 5 kg of equipment. It has a 3 8\"" Easy Link connector to fit an external monitor or other accessories.The dedicated single leg, 3 section, aluminium 190X Video tripod features a levelling column for quick and easy set-up, easily extendable, adjustable legs and Quick Power Lock (QPL) levers that rapidly block or unblock each leg section. The tripod’s casting also features an Easy Link connector equipped with anti-rotation for accessories. The system can support up to 5 kg.","|Brand: Manfrotto |Title: Manfrotto tripod kit MK190X3-3W1 |Price: 239.00 EUR |Description: 190X Aluminum 3 section tripod kit with the 804RC2 3-way head with quick-release camera plate. Key Features: The key feature of the 190X is the ground level adaptor which allows great shooting creativity. Once placed on the top casting and combined with the 4 leg angles, it enables the tripod to reach ultra-low positions. The legs of the 190X tripod are fast to extend and adjust, thanks to the Quick Power Lock levers that block and unblock each leg section. The QPL levers are specially designed for a more comfortable and stronger single-handed grip of the leg locks. From a folded position, the sections of each leg of the tripod can be released in a single movement. The QPL lever design also offers more powerful locking of each section, meaning the tripod is more stable and rigid than with traditional lever designs. Intuitive and ergonomic leg angle selectors allow each leg to be independently and solidly set to any of the pre-set angles, allowing even greater positioning freedom. The top casting of the 190X has an Easy Link connector to support a photo or video accessory (such as a LED light, flash, reflector, or other piece of equipment) on an extending arm or bracket, turning the tripod into a practical mobile studio. The new updated 804 three-way photo head with quick release plate, specifically designed for compactness and transportability. This patented head ensures precise framing and solid support of medium-heavy camera equipment. The key feature of this new head is its retractable levers which fold away when not in use, making it more compact for easier portability. Its newly-designed ergonomic handles are made of special, grip-increasing rubber. The three-way head is made of Adapto, a lightweight polymer which keeps weight low while ensuring high mechanical resistance for sturdy support.",0,0,0
"|Title: PEAK DESIGN Everyday Sling 10L |Price: 1349.0 HKD |Description: ColorwayWhile this bag has been designed with the minimalist in mind, there is three types of colors for you to choose which is Ash, Black and Charcoal. You can find a color to match your style.IMPRESSIVE CAPACITYMade for your essential gear, it can hold a DSLR or mirrorless camera body with 2-3 lenses, a 13″ laptop or tablet, and a tripod or monopod attached to the outside of the bag via the compression straps.Well OrganizationTwo touch-fastening FlexFold dividers can be positioned according to your contents for customizable configurations. An expandable external pocket allows for quick access to small, often used items like your smartphone, wallet, and keys. The main compartment has several slip pockets where you can store cords, spare batteries, and pens.WeatherproofWeatherproof 400D nylon canvas shell with high-density padding is DWR impregnated and poly-coated twice on both sides. Premium weatherproof exterior zippers.Hypalon-reinforced and bar-tacked stress points. Soft, durable mixed-cotton twill interior for protection, durability and a luxurious feel. The Ash Sling replaces Hypalon touchpoints with natural NuBuck leather. All-custom anodized aluminum hardware.",|Title: Fisher & Paykel 10kg Front Load Washing Machine |Price: 1298 AUD |Description: 10kg Front Loader Washing Machine,0,0,0
|Title: Epson WF-C81xx   WF-C86xx Ink Cartridge L Yellow |Price: 44.73 EUR |Description: WF-C81xx   WF-C86xx Ink Cartridge L Yellow,|Brand: Dier |Title: EPSON WF-C8190   WF-C8690 INK CARTRIDGE XXL MAV |Price: 1005.03 TRY |Description: EPSON C13T04A240  WF-C8190   WF-C8690 yazclar iin Kartu XXL MAV 8000 sayfa,0,0,0
"|Title: HIKVISION DS-2DE4A225IW-DE 2MP IP-POE MINI PTZ 25X ZOOM 50M IR |Description: The Hikvision DS-2DE4A225IW-DE is a 2MP Mini PTZ camera with a 5mm - 75mm lens that allows optical zooming up to 25x. This camera has infra-red LEDs that are effective up to 50m and also works in ultra low light environments by using a range of image enhancing features: wide dynamic range (WDR), highlight back light compensation (HLC BLC), 3D digital noise reduction technology (3D DNR) and electronic image stabilization",|Brand: Ice-Watch |Title: Ice-Watch016229 ICE Classic Uhr |Price: 69.95 EUR |Description: Gents fashion watch Size Large,0,0,0
"|Title: Casio G-Shock G-STEEL BLACK GSTB100-1A |Price: 350.00 USD |Description: CASIO G-SHOCKG-STEEL BLACK GSTB100-1AG-SHOCK offers the first G-STEEL lineup models featuring chronograph performance in analog format. The dial at 9 o’clock has a multi-functional rotating disk that is cut to resemble the thick blades of a jet engine. These watches are equipped with Bluetooth® that lets them connect with a smartphone at the press of a button, and acquire time information from an internet time server. The result is accurate timekeeping no matter where in the world you happen to be. Other functions include Tough Solar in combination with CASIO original power saving technology for a stable supply of power, high brightness LED light illumination, and dual dial World Time. The GST-B100D comes with a simple stainless steel band.Shock resistant200m water resistantSolar poweredLED light (Super Illuminator)AfterglowMobile link (Wireless linking using Bluetooth®)Dual time (Home city time swapping)1-second stopwatchMeasuring capacity: 23:59'59Measuring mode: split timeCountdown timerMeasuring unit: 1 secondCountdown range: 24 hoursCountdown start time setting range: 1 minute to 24 hours (1-minute increments and 1-hour increments)Daily alarmBattery level indicatorPower Saving (hands stop to save power when the watch is left in the dark)Full auto-calendar (to year 2099)Date displayDay indicatorRegular timekeepingAnalog: 3 hands (hour, minute (hand moves every 10 seconds), second), 3 dials (dual time hour and minute, dual time 24-hour, day)Accuracy: ±15 seconds per month (with no mobile link function)Approx. battery operating time:5 months on rechargeable battery (operation period with normal use without exposure to light after charge)24 months on rechargeable battery (operation period when stored in total darkness with the power save function on after full charge)","|Title: Black Bay S&G 36mm Steel and Gold |Price: 4100.0 USD |Description: Five year Guarantee: Five-year transferable guarantee with no registration or periodic maintenance checks requiredCase: 36 mm steel case with polished satin finishMovement:Self-winding mechanical movement, Caliber 2824Power Reserve: Power reserve of approximately 38 hoursWinding Crown: Yellow gold screw-down winding crown with the TUDOR roseWaterproofness: Waterproof to 150m (500 ft)Bezel:Yellow gold bezel with satin finishDial:Champagne-colorCrystal: Sapphire crystalBracelet: Steel and gold bracelet, 5 links, polished and satin-brushed finish, with folding clasp and safety catch",0,0,0
"|Title: Swiss Military Hanowa FLAGSHIP CHRONO 06-5183.7.04.003 |Price: 498,00 лв BGN","|Title: Optimum Nutrition, Gold Standard, 100% Whey, White Chocolate, 5 lb (2.27 kg) |Price: 235.74 ILS |Description: 24 g Protein5.5 g BCAAs4 g Glutamine & Glutamic AcidNaturally & Artificially FlavoredWhey Protein Isolate - Primary SourceProtein Powder Drink Mix100% of The Protein From Whey73 ServingsTRUE STRENGTH®The True Strength of WheyWhey Protein Isolates (WPIs) are the purest form of whey protein that currently exists. WPIs are costly to use, but rate among the best protein that money can buy. That's why they're the first ingredient you read on the Gold Standard 100% Whey™ label. By using WPI as the primary ingredient along with premium ultra-filtered whey protein concentrate (WPC), we're able to pack 24 grams of muscle-building protein into every serving. ON's attention to detail also extends to mixability. This superior quality powder has been instantized to mix easily using a shaker cup or just a glass and spoon. There's no doubt that this is the standard by which all other whey proteins are measured.Beyond The Basics77% Protein by Weight (24 g Protein per 31 Serving Size).Whey protein Isolates (WPI) Main Ingredient.Whey Protein Microfractions from Whey Protein Isolate and Ultra-Filtered Whey Protein Concentrate.Over 4 Grams of Glutamine & Glutamic Acid in Each Serving.More than 5 Grams of the Branched Chain Amino Acids (BCAAs) Leucine, Isoleucine, and Valine in Each Serving.The \""Gold Standard\"" for Protein Quality.",0,0,0
|Title: Canon EF 70-200mm f 4L IS USM Telephoto Zoom Lens |Price: 957.00 GBP |Description: Featuring the very finest in L-series optical technology to deliver outstanding optical performance and operability,|Title: Canon EF-S 18-55mm f3.5-5.6 IS Lens |Price: 199.99 USD |Description: Canon EF-S 18-55mm f3.5-5.6 IS Lens - Cameras - Lenses available online at Camcor.com,0,0,0
"|Title: MASTER TL5 HE 14W 865 1SL |Price: 6,38 PLN |Description: Philips MASTER TL5 HE 14W 865 1SL, EAN: 8711500710093",|Title: Philips TL5 HE 14W 840 (MASTER) | 55cm - Cool White,0,0,0
"|Title: TUDOR Black Bay 32 Steel & Gold (M79583-0001) |Price: 4000.00 USD |Description: Case: 32-mm steel case with polished and satin finish Bezel: Yellow gold bezel with satin finish Movement: Self-winding mechanical movement, Caliber 2824 Dial: Black Winding Crown: Yellow gold screw-down winding crown with the TUDOR rose Crystal: Sapphire crystal Waterproof: Waterproof to 150 m (500 ft) Bracelet: Steel and gold bracelet, 5 links, polished and satin-brushed finish, with folding clasp and safety catch",|Brand: zebra |Title: Zebra iSeries Black Ribbon 800014-901,0,0,0
