Entity1,Entity2,GPT_only_response,GPT_Travily_response,y_true,ChatGPT40-mini_baseline_y_pred,WebRag_y_pred
"Brand: Shure  Title: Shure SM58-LC Legendary Dynamic Vocal Microphone  Price: 2149.0 ZAR  Description: Cardioid dynamic vocal microphonewith legendary performance If you’ve ever heard someone sing or speak into a live microphone, there’s an excellent chance it was an SM58. Rock stars. Pop idols. Comedians. Presidents. Popes. Immortal words have passed through its iconic grille for generations. High-Quality Live Vocal Microphone Dynamic Cardioid Internal Shockmount Built-In Spherical Wind and Pop Filter Includes Clip, Stand Adapter & Pouch More Details: Overview: TheShure SM58-LC Vocal Microphonefeatures a cardioid dynamic vocal design well suited for professional vocal use in live performances, sound reinforcement, and studio recording. A built-in spherical filter minimizes wind and breath \""pop\"" noise, while the cardioid pickup pattern isolates the main sound source while minimizing unwanted background noise. The microphone offers durable construction, a high-quality internal shockmount system, and a steel mesh grille for withstanding rough handling. The SM58-LC is designed to perform consistently both outdoors and indoors and when used for singing or speech applications. The microphone includes a microphone clip and a zippered pouch. How it works: Made to handle voice with clarity and care, the uniform cardioid polar pattern reproduces every note as it was intended. And it leaves background noise behind. On any stage — from the club show to the stadium — the SM58 delivers warm, crisp sound, time after time. Roll with no shake or rattle Handling noise gets absorbed by the pneumatic shock mount, keeping the sound free of vibration. Screen out unwanted air When wind and plosives try to take over, the spherical mesh grille and built-in pop filter keep them out of the mix. Rugged for the road ahead Taking the show on tour? The mic’s durable construction and the break-resistant stand adapter keep the SM58 going strong through the toughest performances. *Images are for illustrative purposes only. Actual product may differ due to enhancements or model variation", Title: Shure PGA58 XLR Cardioid Dynamic Vocal Microphone  Price: 54.00 USD,"('No, 95%',)","('No, 95%',)",0,0,0
" Title: Park Tool TWS-2 Folding Torx Wrenches  Price: 29.99 CAD  Description: The TWS-2 includes the star-shaped Torx®compatible wrench sizes currently used on bicycle components in a convenient fold-up set.Includes T7, T9, T10, T15, T20, T25, T27, T30 and T40 wrenchesWrenches made from industrial tool steel, through hardened and tempered for long lifeMulti-position composite handle is lightweight, slip-resistant, and 40% stronger than steel handlesEasy to recognise on the work bench or toolboxOne piece fibre-reinforced resin handle8650 chrome vanadium tool steel"," Title: Park Tool CT-3.2 ChainTool  Price: 33.99 EUR  Description: A shop favorite updated to work on all chains including 1 8"", 3 16"" single-speed chains and 5- to 11-speed 3 32"" derailleur chains. Because of the tremendous force needed to remove chain pins, our Chain Tool is made from investment cast steel.Features:Fine thread and comfortable size for easy removal of even the toughest chain pinsIntended for both single-speed and derailleur type chainsSliding shelf to accomodate any width chainAlso works on ""half link"" chainNotes:CT-3.2 will not peen Campagnolo® chain rivets (see CT-11)The shelf fastener sizing is preset to allow easy adjustment from one width chain to another—any attempt to lock the shelf in place will result in damage to the tool","('No, 95%',)","('No, I am 95% certain.',)",0,0,0
" Title: Copy Rolex Datejust 31 Oystersteel 18 ct white gold M178274-0043 Pink mother-of-pearl set with diamonds Dial  Price: 135 USD  Description: Buy Copy Rolex Datejust 31 Oystersteel 18 ct white gold M178274-0043 Pink mother-of-pearl set with diamonds Dial OnlineSpecificationsReference: 178274Model case: Oyster, 31 mm, Oystersteel and white goldOyster architecture: Monobloc middle case, screw-down case back and winding crownDiameter: 31 mmMaterial: White Rolesor - combination of Oystersteel and 18 ct white goldBezel: FlutedWinding crown: Screw-down, Twinlock double waterproofness systemCrystal: Scratch-resistant sapphire, Cyclops lens over the dateWater-resistance: Waterproof to 100 metres   330 feetMovement: Perpetual, mechanical, self-windingCalibre: 2235, Manufacture RolexPrecision: -2 +2 sec day, after casingFunctions: Centre hour, minute and seconds hands. Instantaneous date with rapid setting. Stop-seconds for precise time settingWinding: Bidirectional self-winding via Perpetual rotorPower reserve: Approximately 48 hoursBracelet: Jubilee, five-piece linksBracelet material: OystersteelClasp: Concealed folding CrownclaspDial: Pink mother-of-pearl set with diamondsGem-setting: Diamonds in 18 ct gold settingsCertification: Superlative Chronometer (COSC + Rolex certification after casing)Purchasing a genuine luxury watch will cost you more than $5,000. Nevertheless, you can buy the best replica watches that have the exact same Swiss accuracy timekeeping mechanisms and classic styling for around $150. The reproduction at the really top of the industry appearance and run therefore much like their much more expensive counterparts that unless you are an expert watchmaker, you will never be in a position to inform the distinction. This makes them one of the absolute most extremely tried after luxury things of the period. Here in our online store, Swiss Replica Rolex Datejust 31 Oystersteel 18 ct white gold M178274-0043 Pink mother-of-pearl set with diamonds Dial at cheap discount."," Title: Rolex Datejust 31 Oystersteel 18 ct yellow gold M278343RBR-0019 Silver set with diamonds Dial  Price: 153 USD  Description: Cloudwatches is a best replica watches online store, we have diversified service provider dedicating to supply our loyal and dependable customers with all replica watches online across the world. As an established company with a sound prestige in selling replica watches, we provide a wide array of replica watches and professional customer service. We are more than ready to show our unique prowess and speciality to gain our foundation, and we also provide fast delivery service. Here in our online store, Purchase top quality replica Rolex Datejust 31 Oystersteel 18 ct yellow gold M278343RBR-0019 Silver set with diamonds Dial watches at Cloudwatches.co.Replica Watch DetailsSpecificationsReference: 278343RBRModel case: Oyster, 31 mm, Oystersteel, yellow gold and diamondsOyster architecture: Monobloc middle case, screw-down case back and winding crownDiameter: 31 mmMaterial: Yellow Rolesor combination of Oystersteel and 18 ct yellow goldBezel: Domed, set with diamondsWinding crown: Screw-down, Twinlock double waterproofness systemCrystal: Scratch-resistant sapphire, Cyclops lens over the dateWater-resistance: Waterproof to 100 metres   330 feetMovement: Perpetual, mechanical, self-windingCalibre: 2236, Manufacture RolexPrecision: -2 +2 sec day, after casingFunctions: Centre hour, minute and seconds hands. Instantaneous date with rapid setting. Stop-seconds for precise time settingOscillator: Syloxi hairspring in silicon with patented geometry. High-performance Paraflex shock absorbersWinding: Bidirectional self-winding via Perpetual rotorPower reserve: Approximately 55 hoursBracelet: Oyster, flat three-piece linksBracelet material: Yellow Rolesor combination of Oystersteel and 18 ct yellow goldClasp: Folding Oysterclasp with Easylink 5 mm comfort extension linkDial: Silver set with diamondsGem-setting: Diamonds in 18 ct gold settingsCertification: Superlative Chronometer (COSC + Rolex certification after casing)","('No, 85%',)","('No, I am 95% certain.',)",0,0,0
"Brand: RAM Mount  Title: RAM Mount Tab-Tite Cradle 8\"" Tablets Samsung Galaxy Tab A 8.0 iPad Mini  Price: 65.00 AUD  Description: RAM Tab-Tite Cradle for Samsung Galaxy Tab A 8.0 and iPad MiniThe RAM Tab-Tite spring loaded, quick release cradle offers a secure fit with easy access to the mounted tablet.The cup ends are designed to fit the Samsung Galaxy Tab A 8.0 using NO CASE on deviceNote: This model Tab-Tite is NOT compatible with Samsung Galaxy Tab A 8.0 (2017). For this tablet, see RAM-HOL-TAB24U.The spring loaded design makes it easy to insert and remove your tablet, along with keeping it secure in mobile applications.The custom end cups are designed to optimize the functionality of your tablet, enabling access to all ports and tablet functions.Included is a set of four nuts and bolts to connect the cradle to any RAM components.The Tab-Tite™ cradle is compatible with any tablet that will fit the dimensions listed below.NOTE: This is the cradle only, images of other ram components are for illustration only and not Included, but sold separatelyCradle Dimensions:Height: 7.88\"" to 10.38\"" (200.15mm -263.65mm)Width: 4.3\"" to 5.3\"" (109.22mm -134.62mm)Depth: 0.0\"" to 0.37\"" (0mm -9.398mm)Compatible devices:Samsung Galaxy Tab A 8.0 (2018 + 2019)Samsung Galaxy Tab S2 8.0Samsung Galaxy Tab Pro 8.4iPadMini 2 & 3"," Title: RAM Tab-Tite™Cradle for 8\"" Tablets including Samsung Galaxy Tab A & S2 8.0 with Otterbox Defender Case  Price: 4.595E1 AUD  Description: The RAM® Tab-Tite™ spring loaded, quick release cradle offers a secure fit with easy access to the mounted tablet. The interchangeable cup ends are designed specifically for the Samsung Galaxy Tab A 8.0, Tab A 8.0 with S Pen Tab S2 8.0 with Otterbox Defender case. The spring loaded design makes it easy to insert and remove your tablet, along with keeping it secure in mobile applications. The custom end cups are designed to optimize the functionality of your tablet, enabling access to all ports and tablet functions.Included is a set of four nuts and bolts to connect the cradle to any RAM components or mounts that contain the universal AMPs hole pattern.The Tab-Tite™ cradle is compatible with any tablet that will fit the dimensions listed below. It is important to verify the dimensions of your tablet when determining the overall size.SpecificationsCradle Dimensions:Height: 8.25\"" to 11\""Width: 5\"" to 5.88\""Depth: 0.3\"" to 0.67\""Support cups are designed to offer access to ports and tablet functionsModular design makes upgrading to a new tablet simple and cost effectiveDual-spring loaded tension provides secure support for your tabletEasy, quick release of your tablet for on-the-go applicationsVersatility of cradle allows for attachment to many RAM mounting solutionsMaterial: High Strength CompositeAccessoriesCompatibilitySamsung Galaxy Tab A 8.0Samsung Galaxy Tab S2 8.0Plus any tablet that fits the dimensions in the specifications sectionRelated ItemsNotesThe \""U\"" in the part number reflects product packaged in poly bag.Instructions Tab-Tite Assembly Guide Tab-Tite™ Assembly VideosWarranty RAM Warranty","('No, 70%',)","('Yes, 90%',)",0,0,1
Brand: APC UPS  Title: APC Smart-UPS 1500VA LCD Tower UPS  Description: APC Smart-UPS 1500VA LCD Tower UPS," Title: APC Smart-UPS USV Stromversorgung, 640W, 230V  Price: 970.800 EUR","('Yes, 85%',)","('No, 80%',)",0,1,0
" Title: Optimum Nutrition, Gold Standard, 100% Whey, White Chocolate, 5 lb (2.27 kg)  Price: 235.74 ILS  Description: 24 g Protein5.5 g BCAAs4 g Glutamine & Glutamic AcidNaturally & Artificially FlavoredWhey Protein Isolate - Primary SourceProtein Powder Drink Mix100% of The Protein From Whey73 ServingsTRUE STRENGTH®The True Strength of WheyWhey Protein Isolates (WPIs) are the purest form of whey protein that currently exists. WPIs are costly to use, but rate among the best protein that money can buy. That's why they're the first ingredient you read on the Gold Standard 100% Whey™ label. By using WPI as the primary ingredient along with premium ultra-filtered whey protein concentrate (WPC), we're able to pack 24 grams of muscle-building protein into every serving. ON's attention to detail also extends to mixability. This superior quality powder has been instantized to mix easily using a shaker cup or just a glass and spoon. There's no doubt that this is the standard by which all other whey proteins are measured.Beyond The Basics77% Protein by Weight (24 g Protein per 31 Serving Size).Whey protein Isolates (WPI) Main Ingredient.Whey Protein Microfractions from Whey Protein Isolate and Ultra-Filtered Whey Protein Concentrate.Over 4 Grams of Glutamine & Glutamic Acid in Each Serving.More than 5 Grams of the Branched Chain Amino Acids (BCAAs) Leucine, Isoleucine, and Valine in Each Serving.The \""Gold Standard\"" for Protein Quality."," Title: Optimum Nutrition, Gold Standard 100% Whey, Delicious Strawberry, 5 lbs (2.27 kg)  Price: 1456.36 MXN  Description: For Muscle Support & Recovery24 g Protein - Helps Build and Maintain Muscles‡5.5 g BCAAs** - Supports Endurance and RecoveryNaturally & Artificially FlavoredWhey Protein Isolates - Primary SourceBanned Substance Tested100% of the Protein from WheyProtein Powder Drink Mix73 ServingsNo Artifical Growth Hormones♦Strength TrainingSports PerformanceActive LifestyleAuthentic Optimum Nutrition ProductGluten FreeInformed-Choice - Trusted by SportWhy GOLD STANDARD 100% WHEY™ ?Packed with 24 grams of high-quality protein per serving to help build muscle‡.Whey Protein Isolate (WPI) is the primary ingredient with further carbs and fat 'isolated' out.11 grams of naturally occurring Essential Amino Acids (EAAs) to support muscle recovery.The GOLD STANDARD® for protein quality, fueling over 2 billion workout recoveries worldwide since 1998.OPTIMUM® NUTRITION has been trusted to provide the highest quality in post-workout recovery, pre-workout energy, and on-the-go sports nutrition for over 30 years and in 90+ countries. After careful supplier selection, each ingredient is tested to assure exceptional purity, potency and composition. We hold ourselves to the highest production standards, all so you can unlock your body's full potential.**Naturally Occurring Amino Acids‡When taken over time with regular resistance training♦No significant difference has been shown between milk derived from rBST-treated and Non-rBST treated cows.Informed-Choice is a quality assurance program for sports nutrition products. The program certifies that nutritional supplements that bear the Informed-Choice logo had been tested for banned substances by the world class sports anti-doping lab, LGC Limited.","('Yes, 90%',)","('No, 75% certain.',)",0,1,0
Brand: REMO  Title: Remo Coated Ambassador 10 Inch Drum Head Skin BA-0110  Price: 25.50 AUD," Title: Remo Ambassador Coated Drum Heads  Price: 1.375E1 GBP  Description: The Ambassador Coated is the most popular Drumhead in the world, featuring the perfect combination of warm, open tones with bright attack and controlled sustain. Constructed with 1-ply 10-mil Coated film, AmbassadorCoated Drumheads are the industry standard for all applications. Available in sizes 6\"" - 40\"".SPECIFICATIONIdeal for Tom, Bass and Snare batter applicationsAvailable in sizes 6\"" - 40\""1-ply 10-mil Coated FilmThe worlds most popular 1-ply Coated DrumheadProvides bright attack and controlled sustain","('Yes, 90%',)","('Yes, 90%',)",0,1,1
 Title: TAG HEUER CARRERA Ladies Quartz Watch  Price: 2.05E3 USD  Description: Quartz Watch,Brand: Tag Heuer  Title: Tag Heuer - Carrera Quartz on Steel Bracelet  Price: 1650.00 GBP  Description: Movement -QuartzStrap -Stainless Steel BraceletCase Diameter - 39mmDial - Blue withRose gold coloured indexes10 Bar Water ResistantApprox 24 months battery lifeCrystal -Sapphire2 years WarrantyFeatures:Date windowEOL (battery End-Of-Life indication)Stop-secondFast date correction,"('Yes, 85%',)","('No, 85%',)",1,1,0
" Title: 12 GAUGE WINCHESTER SUPER TARGET 2-3 4\"" #8 SHOT (25 ROUNDS)  Price: 10.25 USD  Description: This trap and skeet load from Winchester's Super Target series delivers reliable clay-busting performance with every shot. Each shell in this box of 25 fires a one ounce column of #8 shot at a muzzle velocity of 1,180 feet per second, producing nice tight patterns without punishing recoil.Winchester Super Target shells are loaded in Oxford, Mississippi and use high quality powder and hinged wads that provide better accuracy.Place an order for $99 or more and enjoy free shipping from AmmoMan.com!"," Title: Winchester 12 Ga 1 1 8 Oz #8 2 3 4\"" 3Dr Super Target 1200 Fps Ammunition (25 Rounds)  Price: 8.29 USD  Description: Winchester Shotshell Ammo 12 Ga 1 1 8 Oz #8 2 3 4\"" 3Dr Super Target 1200 Fps (25)","('Yes, 85%',)","('Yes, 95%',)",0,1,1
Brand: Citizen  Title: Citizen Promaster BN0190-82E Promaster Sea watch  Price: 263.82 GBP  Description: 20 ATM Steel Eco-Drive Diver Watch,Brand: New Era  Title: New Era New Era Seattle Seahawks NFL 9Forty Cap  Price: 29.95 EUR  Description: De New Era Cincinnati Bengals NFL 9FORTY Cap shop je bij Burned Sports.,"('No, 100%',)","('No, 100%',)",0,0,0
